n,d,log_speed,log_avg_speed,log_lower,log_upper
1000,2000,-3.736404204081841,-3.5045654326220843,-4.132416142156339,-0.809925737760073
1100,2000,-3.851221938375065,-3.597113625512178,-4.205312715978309,-0.8444352524932989
1200,2000,-3.879265288553589,-3.629065402584812,-4.263621123775838,-0.9005544682360744
1300,2000,-3.920946978079584,-3.6723468066451868,-4.275826263215824,-0.9284143797750646
1400,2000,-3.9602885719559406,-3.715520114686697,-4.351500980011479,-0.9695448475290538
1500,2000,-4.027857763819883,-3.770459214342528,-4.36150350284926,-1.0130478483767302
1600,2000,-4.01749931062535,-3.7638702749976303,-4.333653739868837,-1.0467879984860258
1700,2000,-4.0317559815087245,-3.7894440193830303,-4.433541746671643,-1.0754940770481622
1800,2000,-4.117493202720939,-3.846692978708359,-4.437988808655626,-1.1009371332345577
1900,2000,-4.193429947222165,-3.914188749600147,-4.511257895232622,-1.1393394861817279
2000,2000,-4.125945495752119,-3.8849571701248986,-4.507689344086835,-1.1596350434586291
