d,n,p,loss_trend,CV_probability
20,20,30,0.0,1.0000000000000002
20,40,30,0.0,1.0000000000000002
20,60,30,0.0006751842612834141,0.9500000000000003
20,80,30,0.008530551104590627,0.3
20,100,30,0.010563178383579586,0.2
20,120,30,0.03202426961302733,0.0
20,140,30,0.058416226331381105,0.0
20,160,30,0.09492982900780784,0.0
20,180,30,0.12382953657214825,0.0
20,200,30,0.17094755658021266,0.0
20,220,30,0.18430794410016288,0.0
20,240,30,0.24435556944399042,0.0
20,260,30,0.2751975580335977,0.0
20,280,30,0.2798371351588187,0.0
20,300,30,0.3480477582566729,0.0
20,320,30,0.3490853217202641,0.0
20,340,30,0.3672954942409309,0.0
20,360,30,0.39723032252431983,0.0
20,380,30,0.41480708175961917,0.0
20,400,30,0.45349382185294573,0.0
